# CMUdict fallback pronunciations converted from ARPAbet
a	IX
a's	'EYz
aaa	tr"IHpIXl'EY
aaberg	'AAbERg
aachen	'AAkIXn
aachener	'AAkIXnER
aaker	'AAkER
aalborg	'AALXbOWrg
aalburg	'AELXbERg
aalen	'AElIXn
aaliyah	"AAl'IY"AA
aalseth	'AALXsEHTH
aalsmeer	'AALXsmIHr
aalto	'AALXt"OW
aamodt	'AAmIXt
aancor	'AAnk"OWr
aardema	AArd'EHmIX
aardvark	'AArdv"AArk
aardvarks	'AArdv"AArks
aargh	'AArg
aarhus	"AAh'UWs
aaron	'EHrIXn
aaron's	'EHrIXnz
aarons	'EHrIXnz
aaronson	'EHrIXnsIXn
aaronson's	'EHrIXnsIXnz
aarti	'AArt"IY
aase	'AAs
aasen	'AAsIXn
ab	'AEb
aba	"EYb"IY'EY
ababa	IXb'AAbIX
abacha	'AEbIXkIX
aback	IXb'AEk
abaco	'AEbIXk"OW
abacus	'AEbIXkIXs
abad	IXb'AAd
abadaka	IXb'AEdIXkIX
abadi	IXb'AEdIY
abadie	IXb'AEdIY
abair	IXb'EHr
abalkin	IXb'AALXkIHn
abalone	"AEbIXl'OWnIY
abalones	"AEbIXl'OWnIYz
abalos	AAb'AAlOWz
abandon	IXb'AEndIXn
abandoned	IXb'AEndIXnd
abandoning	IXb'AEndIXnIHNG
abandonment	IXb'AEndIXnmIXnt
abandonments	IXb'AEndIXnmIXnts
abandons	IXb'AEndIXnz
abanto	IXb'AEntOW
abarca	IXb'AArkIX
abare	AAb'AArIY
abascal	'AEbIXskIXLX
abash	IXb'AESH
abashed	IXb'AESHt
abasia	IXb'EYZHyIX
abate	IXb'EYt
abated	IXb'EYtIHd
abatement	IXb'EYtmIXnt
abatements	IXb'EYtmIXnts
abates	IXb'EYts
abating	IXb'EYtIHNG
abattoir	"AEbIXtw'AAr
abba	'AEbIX
abbado	IXb'AAdOW
abbas	IXb'AAs
abbasi	AAb'AAsIY
abbate	'AAbEYt
abbatiello	AAbAAtIY'EHlOW
abbe	'AEbIY
abbenhaus	'AEbIXnh"AWs
abbett	IXb'EHt
abbeville	'AEbvIHLX
abbey	'AEbIY
abbey's	'AEbIYz
abbie	'AEbIY
abbitt	'AEbIHt
abbot	'AEbIXt
abbotstown	'AEbIXtst'AWn
abbott	'AEbIXt
abbott's	'AEbIXts
abbottstown	'AEbIXtst'AWn
abboud	IXb'UWd
abbreviate	IXbr'IYvIY"EYt
abbreviated	IXbr'IYvIY"EYtIHd
abbreviates	IXbr'IYvIY"EYts
abbreviating	IXbr'IYvIY"EYtIHNG
abbreviation	IXbr"IYvIY'EYSHIXn
abbreviations	IXbr"IYvIY'EYSHIXnz
abbruzzese	AAbrUWts'EYzIY
abbs	'AEbz
abby	'AEbIY
abc	'EYb"IYs"IY
abc's	'EYb"IYs"IYz
abco	'AEbkOW
abcotek	'AEbkOWt"EHk
abcs	'EYb"IYs"IYz
abd	"EYb"IYd'IY
abdalla	"AEbd'AElIX
abdallah	"AEbd'AElIX
abdel	'AEbd"EHLX
abdella	"AEbd'EHlIX
abdicate	'AEbdIXk"EYt
abdicated	'AEbdIXk"EYtIHd
abdicates	'AEbdIXk"EYts
abdicating	'AEbdIHk"EYtIHNG
abdication	"AEbdIHk'EYSHIXn
abdnor	'AEbdnER
abdo	'AEbdOW
abdollah	"AEbd'AAlIX
abdomen	AEbd'OWmIXn
abdominal	AEbd'AAmIXnIXLX
abduct	AEbd'AHkt
abducted	AEbd'AHktIHd
abductee	AEbd"AHkt'IY
abductees	AEbd"AHkt'IYz
abducting	AEbd'AHktIHNG
abduction	AEbd'AHkSHIXn
abductions	AEbd'AHkSHIXnz
abductor	AEbd'AHktER
abductors	AEbd'AHktERz
abducts	AEbd'AHkts
abdul	AEbd'UWLX
abdulaziz	AEbd"UWlIXz'IYz
abdulla	AAbd'UWlIX
abdullah	"AEbd'AHlIX
abe	'EYb
abed	IXb'EHd
abedi	IXb'EHdIY
abee	IXb'IY
abel	'EYbIXLX
abela	AAb'EHlIX
abelard	'AEbIHlERd
abele	IXb'EHLX
abeles	IXb'EHLXz
abell	'EYbIXLX
abella	IXb'EHlIX
abeln	'AEbIHLXn
abelow	'AEbIXlOW
abels	'EYbIXLXz
abelson	'AEbIHLXsIXn
abend	'AEbEHnd
abendroth	'AEbIHndrAATH
aber	'EYbER
abercrombie	"AEbERkr'AAmbIY
aberdeen	'AEbERd"IYn
aberford	'EYbERfERd
aberg	'AEbERg
aberle	'AEbERIXLX
abermin	'AEbERmIHn
abernathy	'AEbERn"AETHIY
abernethy	'AEbERn"EHTHIY
aberrant	AEb'EHrIXnt
aberration	"AEbER'EYSHIXn
aberrational	"AEbER'EYSHIXnIXLX
aberrations	"AEbER'EYSHIXnz
abert	'AEbERt
abet	IXb'EHt
abetted	IXb'EHtIHd
abetting	IXb'EHtIHNG
abex	'EYbEHks
abeyance	IXb'EYIXns
abeyta	AAb'EYtIX
abhor	AEbh'OWr
abhorred	IXbh'OWrd
abhorrence	IXbh'OWrIXns
abhorrent	AEbh'OWrIXnt
abhors	IXbh'OWrz
abiam	'EYbIYIXm
abiam's	'EYbIYIXmz
abid	'EYbIHd
abide	IXb'AYd
abided	IXb'AYdIHd
abides	IXb'AYdz
abiding	IXb'AYdIHNG
abidjan	AEbIHdZH'AAn
abie	'AEbIY
abigail	'AEbIXg"EYLX
abila	AAb'IYlIX
abilene	'AEbIHl"IYn
abilities	IXb'IHlIXt"IYz
ability	IXb'IHlIXt"IY
abimael	"AEbIHm'EYLX
abimaels	"AEbIHm'EYLXz
abingdon	'AEbIHNGdIXn
abington	'AEbIHNGtIXn
abio	'AAbIYOW
abiola	"AAbIY'OWlIX
abiola's	"AAbIY'OWlIXz
abiomed	EYb'IYIXmEHd
abiquiu	IXb'IHkyUW
abitibi	"AEbIHt'IYbIY
abitz	'AEbIHts
abject	'AEbdZHEHkt
abkhazia	AEbk'AAzyIX
abkhazian	AEbk'AAzIYIXn
abkhazians	AEbk'AAzIYIXnz
ablate	"AHbl'EYt
ablation	"AHbl'EYSHIXn
ablaze	IXbl'EYz
able	'EYbIXLX
abled	'EYbIXLXd
abler	'EYbIXlER
ables	'EYbIXLXz
ablest	'EYbIXLXst
abloom	IXbl'UWm
ablution	IXbl'UWSHIXn
ablutions	IXbl'UWSHIXnz
ably	'EYblIY
abnegation	"AEbnEHg'EYSHIXn
abner	'AEbnER
abney	'AEbnIY
abnormal	AEbn'OWrmIXLX
abnormalities	"AEbnOWrm'AElIXtIYz
abnormality	"AEbnOWrm'AElIXtIY
abnormally	AEbn'OWrmIXlIY
abo	'AAbOW
abo's	'AAbOWz
aboard	IXb'OWrd
abode	IXb'OWd
abohalima	AEbIXhIXl'IYmIX
abolish	IXb'AAlIHSH
abolished	IXb'AAlIHSHt
abolishes	IXb'AAlIHSHIHz
abolishing	IXb'AAlIHSHIHNG
abolition	"AEbIXl'IHSHIXn
abolitionism	"AEbIXl'IHSHIXn"IHzIXm
abolitionist	"AEbIXl'IHSHIXnIXst
abolitionists	"AEbIXl'IHSHIXnIXsts
abominable	IXb'AAmIXnIXbIXLX
abomination	IXb"AAmIXn'EYSHIXn
abominations	IXb"AAmIXn'EYSHIXnz
abood	IXb'UWd
aboodi	IXb'UWdIY
abor	IXb'OWr
aboriginal	"AEbER'IHdZHIXnIXLX
aborigine	"AEbER'IHdZHIXnIY
aborigines	"AEbER'IHdZHIXnIYz
aborn	IXb'OWrn
abort	IXb'OWrt
aborted	IXb'OWrtIHd
abortifacient	IXb"OWrtIXf'EYSHIXnt
abortifacients	IXb"OWrtIXf'EYSHIXnts
aborting	IXb'OWrtIHNG
abortion	IXb'OWrSHIXn
abortionist	IXb'OWrSHIXnIHst
abortionists	IXb'OWrSHIXnIHsts
abortions	IXb'OWrSHIXnz
abortive	IXb'OWrtIHv
aborts	IXb'OWrts
abott	IXb'AAt
abou	IXb'UW
aboud	AAb'UWd
abouhalima	"AAbUWhAAl'IYmIX
abouhalima's	"AAbUWhAAl'IYmIXz
abound	IXb'AWnd
abounded	IXb'AWndIHd
abounding	IXb'AWndIHNG
abounds	IXb'AWndz
about	IXb'AWt
about's	IXb'AWts
above	IXb'AHv
above's	IXb'AHvz
aboveboard	IXb'AHvb"OWrd
abplanalp	'AEbplIXnAELXp
abra	'AAbrIX
abracadabra	"AEbrIXkIXd'AEbrIX
abrade	AEbr'EYd
abraded	AEbr'EYdIHd
abrades	AEbr'EYdz
abraham	'EYbrIXh"AEm
abrahamian	"AEbrIXh'EYmIYIXn
abrahams	'EYbrIXh"AEmz
abrahamsen	AEbrIXh'AEmsIXn
abrahamson	IXbr'AEhIXmsIXn
abram	IXbr'AEm
abram's	'EYbrIXmz
abramczyk	'AAbrIXmtSHIHk
abramo	AAbr'AAmOW
abramovitz	IXbr'AAmIXvIHts
abramowicz	IXbr'AAmIXvIHtSH
abramowitz	IXbr'AAmIXwIHts
abrams	'EYbrIXmz
abrams's	'EYbrIXmzIHz
abramson	'EYbrIXmsIXn
abrasion	IXbr'EYZHIXn
abrasions	IXbr'EYZHIXnz
abrasive	IXbr'EYsIHv
abrasives	IXbr'EYsIHvz
abraxa	IXbr'AEksIX
abraxa's	IXbr'AEksIXz
abraxas	IXbr'AEksIXz
abreast	IXbr'EHst
abrego	AAbr'EHgOW
abreu	IXbr'UW
abridge	IXbr'IHdZH
abridged	IXbr'IHdZHd
abridgement	IXbr'IHdZHmIXnt
abridges	IXbr'IHdZHIXz
abridging	IXbr'IHdZHIHNG
abril	IXbr'IHLX
abroad	IXbr'AAd
abrogate	'AEbrIXg"EYt
abrogated	'AEbrIXg"EYtIHd
abrogating	'AEbrIXg"EYtIHNG
abrogation	"AEbrIXg'EYSHIXn
abrol	IXbr'OWLX
abron	IXbr'AAn
abrupt	IXbr'AHpt
abruptly	IXbr'AHptlIY
abruptness	IXbr'AHptnIXs
abrutyn	'EYbrUWtIHn
abruzzese	AAbrUWts'EYzIY
abruzzo	AAbr'UWzOW
abs	'EYb'IY'EHs
absalom	'AEbsIXlIXm
absaraka	AEbs'AArIXkIX
abscam	'AEbskAEm
abscess	'AEbs"EHs
abscond	AEbsk'AAnd
absconded	AEbsk'AAndIHd
absconding	AEbsk'AAndIHNG
absconds	AEbsk'AAndz
absecon	'AEbsIXkAAn
absence	'AEbsIXns
absences	'AEbsIXnsIHz
absent	'AEbsIXnt
absentee	"AEbsIXnt'IY
absenteeism	"AEbsIXnt'IYIHzIXm
absentees	"AEbsIXnt'IYz
absentia	AEbs'EHnSHIX
absher	'AEbSHER
abshier	'AEbSHIYER
abshire	'AEbSH"AYr
absinthe	'AEbsIHnTH
abso	'AEbsOW
absolom	'AEbsIXlIXm
absolut	"AEbsIXl'UWt
absolut's	"AEbsIXl'UWts
absolute	'AEbsIXl"UWt
absolutely	"AEbsIXl'UWtlIY
absoluteness	'AEbsIXl"UWtnIXs
absolutes	'AEbsIXl"UWts
absolution	"AEbsIXl'UWSHIXn
absolutism	'AEbsIXl"UWt"IHzIXm
absolutist	AEbsIXl'UWtIHst
absolve	IXbz'AALXv
absolved	IXbz'AALXvd
absolves	IXbz'AALXvz
absolving	IXbz'AALXvIHNG
absorb	IXbz'OWrb
absorbed	IXbz'OWrbd
absorbency	IXbz'OWrbIXnsIY
absorbent	IXbz'OWrbIXnt
absorber	IXbz'OWrbER
absorbers	IXbz'OWrbERz
absorbing	IXbz'OWrbIHNG
absorbs	IXbz'OWrbz
absorption	IXbz'OWrpSHIXn
abstain	IXbst'EYn
abstained	IXbst'EYnd
abstaining	IXbst'EYnIHNG
abstention	IXbst'EHntSHIXn
abstentions	IXbst'EHntSHIXnz
abstinence	'AEbstIXnIXns
abstinent	'AEbstIXnIXnt
abston	'AEbstIXn
abstract	AEbstr'AEkt
abstracted	'AEbstr"AEktIHd
abstraction	AEbstr'AEkSHIXn
abstractions	AEbstr'AEkSHIXnz
abstracts	'AEbstrAEkts
abstruse	IXbstr'UWs
absurd	IXbs'ERd
absurdist	IXbs'ERdIHst
absurdities	IXbs'ERdIXtIYz
absurdity	IXbs'ERdIXtIY
absurdly	IXbs'ERdlIY
abt	'AEbt
abts	'AEbts
abu	'AEbUW
abudrahm	IXb'AHdrIXm
abuellah	IXbw'EHlIX
abuellah's	IXbw'EHlIXz
abuladze	"AEbyUWl'AEdzIY
abundance	IXb'AHndIXns
abundant	IXb'AHndIXnt
abundantly	IXb'AHndIXntlIY
aburto	IXb'UHrt"OW
aburto's	IXb'UHrt"OWz
abuse	IXby'UWs
abused	IXby'UWzd
abuser	IXby'UWzER
abusers	IXby'UWzERz
abuses	IXby'UWsIHz
abusing	IXby'UWzIHNG
abusive	IXby'UWsIHv
abut	IXb'AHt
abuts	IXb'AHts
abutted	IXb'AHtIHd
abutting	IXb'AHtIHNG
abuzz	IXb'AHz
abysmal	IXb'IHzmIXLX
abysmally	IXb'IHzmIXlIY
abyss	IXb'IHs
abyssinia	AEbs'IHn"IYIX
abyssinian	AEbs'IHn"IYIXn
abzug	'AEbz"AHg
ac	'EYs'IY
aca	'AEkIX
acacia	IXk'EYSHIX
academe	'AEkIXd"IYm
academia	"AEkIXd'IYmIYIX
academic	"AEkIXd'EHmIHk
academically	"AEkIXd'EHmIHklIY
academician	"AEkIXdIXm'IHSHIXn
academicians	"AEkIXdIXm'IHSHIXnz
academics	"AEkIXd'EHmIHks
academies	IXk'AEdIXmIYz
academy	IXk'AEdIXmIY
academy's	IXk'AEdIXmIYz
acadia	IXk'EYdIYIX
acaena	IXs'IYnIX
acampo	IXk'AAmpOW
acampora	IXk'AEmpERIX
acampsia	IXk'AEmpsyIX
acantha	AAk'AAnDHIX
acapulco	"AEkIXp'UHLXkOW
acary	'AEkERIY
acc	"AYs"IYs'IY
accardi	AAk'AArdIY
accardo	AAk'AArdOW
accede	AEks'IYd
acceded	AEks'IYdIHd
accedes	AEks'IYdz
acceding	AEks'IYdIHNG
accel	IXks'EHLX
accelerant	AEks'EHlERIXnt
accelerants	AEks'EHlERIXnts
accelerate	AEks'EHlER"EYt
accelerated	AEks'EHlER"EYtIHd
accelerates	AEks'EHlER"EYts
accelerating	AEks'EHlER"EYtIHNG
acceleration	"AEks"EHlER'EYSHIXn
accelerator	AEks'EHlER"EYtER
accelerators	AEks'EHlER"EYtERz
accelerometer	AEks"EHlER'AAmIXtER
accelerometers	AEks"EHlER'AAmIXtERz
accent	IXks'EHnt
accented	'AEksEHntIHd
accenting	'AEksEHntIHNG
accents	'AEksEHnts
accentuate	AEks'EHntSHUWEYt
accentuated	AEks'EHntSHUW"EYtIHd
accentuates	AEks'EHntSHUW"EYts
accentuating	AEks'EHntSHUW"EYtIHNG
accenture	AEks'EHntSHER
accept	AEks'EHpt
acceptability	IXks"EHptIXb'IHlIXtIY
acceptable	AEks'EHptIXbIXLX
acceptably	AEks'EHptIXblIY
acceptance	AEks'EHptIXns
acceptances	AEks'EHptIXnsIHz
accepted	AEks'EHptIHd
accepting	AEks'EHptIHNG
accepts	AEks'EHpts
access	'AEks"EHs
accessed	'AEks"EHst
accessibility	"AEksEHsIXb'IHlIHtIY
accessible	AEks'EHsIXbIXLX
accessing	'AEks"EHsIHNG
accession	IXks'EHSHIXn
accessories	AEks'EHsERIYz
accessorize	AEks'EHsER"AYz
accessorized	AEks'EHsER"AYzd
accessory	AEks'EHsERIY
accetta	AAtSH'EHtIX
accident	'AEksIXdIXnt
accident's	'AEksIXdIXnts
accidental	"AEksIXd'EHntIXLX
accidentally	"AEksIXd'EHntIXlIY
accidently	'AEksIXdIXntlIY
accidents	'AEksIXdIXnts
accion	'AEtSHIYIXn
accival	'AEsIHv"AALX
acclaim	IXkl'EYm
acclaim's	IXkl'EYmz
acclaimed	IXkl'EYmd
acclaiming	IXkl'EYmIHNG
acclaims	IXkl'EYmz
acclamation	"AEklIXm'EYSHIXn
acclimate	'AEklIXm"EYt
acclimated	'AEklIXm"EYtIHd
acclimation	"AEklIXm'EYSHIXn
acco	'AEkOW
accokeek	'AEkOWkIYk
accola	AAk'OWlIX
accolade	'AEkIXl"EYd
accolades	'AEkIXl"EYdz
accomando	AAkOWm'AAndOW
accommodate	IXk'AAmIXd"EYt
accommodated	IXk'AAmIXd"EYtIHd
accommodates	IXk'AAmIXd"EYts
accommodating	IXk'AAmIXd"EYtIHNG
accommodation	IXk"AAmIXd'EYSHIXn
accommodations	IXk"AAmIXd'EYSHIXnz
accommodative	IXk'AAmIXd"EYtIHv
accompanied	IXk'AHmpIXnIYd
accompanies	IXk'AHmpIXnIYz
accompaniment	IXk'AHmpnIHmIXnt
accompaniments	IXk'AHmpnIHmIXnts
accompanist	IXk'AHmpIXnIXst
accompany	IXk'AHmpIXnIY
accompanying	IXk'AHmpIXnIYIHNG
accompli	"AAk'AAmplIY
accomplice	IXk'AAmplIXs
accomplices	IXk'AAmplIXsIXz
accomplish	IXk'AAmplIHSH
accomplished	IXk'AAmplIHSHt
accomplishes	IXk'AAmplIHSHIHz
accomplishing	IXk'AAmplIHSHIHNG
accomplishment	IXk'AAmplIHSHmIXnt
accomplishments	IXk'AAmplIHSHmIXnts
accor	'AEk"OWr
accor's	'AEkERz
accord	IXk'OWrd
accord's	IXk'OWrdz
accordance	IXk'OWrdIXns
accorded	IXk'OWrdIHd
according	IXk'OWrdIHNG
accordingly	IXk'OWrdIHNGlIY
accordion	IXk'OWrdIYIXn
accordions	IXk'OWrdIYIXnz
accords	IXk'OWrdz
accost	IXk'AAst
accosted	IXk'AAstIHd
accosting	IXk'AAstIHNG
account	IXk'AWnt
account's	IXk'AWnts
accountability	IXk'AWntIXb"IHlIHtIY
accountable	IXk'AWntIXbIXLX
accountancy	IXk'AWntIXnsIY
accountant	IXk'AWntIXnt
accountant's	IXk'AWntIXnts
accountants	IXk'AWntIXnts
accounted	IXk'AWntIHd
accountemp	IXk'AWnt"EHmp
accountemps	IXk'AWnt"EHmps
accounting	IXk'AWntIHNG
accounts	IXk'AWnts
accouterment	IXk'UWtERmIXnt
accouterments	IXk'UWtERmIXnts
accoutrement	IXk'UWtERmIXnt
accoutrements	IXk'UWtERmIXnts
accra	'AAkr"AA
accredit	IXkr"EHdIXt
accreditation	IXkr"EHdIXt'EYSHIXn
accreditations	IXkr"EHdIXt'EYSHIXnz
accredited	IXkr'EHdIHtIHd
accrediting	IXkr'EHdIXtIHNG
accreted	IXkr'IYtIHd
accretion	IXkr'IYSHIXn
accrual	IXkr'UWIXLX
accruals	IXkr'UWIXLXz
accrue	IXkr'UW
accrued	IXkr'UWd
accrues	IXkr'UWz
accruing	IXkr'UWIHNG
accu	'AEkyUW
accuhealth	'AEkyUWh"EHLXTH
accumulate	IXky'UWmyIXl"EYt
accumulated	IXky'UWmyIXl"EYtIHd
accumulates	IXky'UWmyIXl"EYts
accumulating	IXky'UWmyIXl"EYtIHNG
accumulation	IXky"UWmyIXl'EYSHIXn
accumulations	IXky"UWmyIXl'EYSHIXnz
accumulative	IXky'UWmyIXl"EYtIHv
