# Converted from eigencrow/IBMTTSDictionaries US-English files.
# Source data is CC0-1.0. Columns: spelling, kind, priority:value.
65DAYSOFSTATIC	text	override:65 days of static
A-list	phonetic	override:'EYl"IHst
A-lister	phonetic	override:'EYl"IHstER
aaas	text	override:ay ay ay ess
AAC	text	override:ay ay ce
aachen	phonetic	fallback:'AAkIXn
aaliyah	phonetic	fallback:'AAlIYAX
aang	phonetic	fallback:'AENG
AAPI	text	override:ay ay pea igh
aaronic	phonetic	fallback:"EYr'AAnIXk
aaronite	phonetic	fallback:'EYrAXn"AYt
aasvogel	phonetic	fallback:"AAsv'OWgAXl
abaca	phonetic	fallback:"AEbAXk'AA
abacavir	phonetic	fallback:AXb'AEkAXv"IYr
abaci	phonetic	fallback:'AEbAXs"AY
abaco	phonetic	fallback:'AEbAXkOW
abacterial	phonetic	fallback:"EYb"AEkt'IYrIYAXl
abacá	phonetic	fallback:"AEbAXk'AA
abadan	phonetic	fallback:"AAbAXd'AAn
abasic	phonetic	fallback:AXb'EYzIXk
abatacept	phonetic	fallback:"AEbAXt'AEs"EHpt
abatis	phonetic	fallback:'AEbAXt"IY
abatises	phonetic	fallback:'AEbAXt"IYz
abattage	phonetic	fallback:"AEbAXt'AAZH
abattoir	phonetic	fallback:'AEbAXtw"AAr
abaya	phonetic	fallback:AXb'AYAX
abaze	phonetic	fallback:AXb'AAzIY
abazis	phonetic	fallback:AXb'AAzIYz
abbas	phonetic	fallback:AXb'AAs
abbasis	phonetic	fallback:AXb'AAsIYz
abbotcy	phonetic	fallback:'AEbAXtsIY
abbozzo	phonetic	fallback:AXb'AAtsOW
abbreviatory	phonetic	fallback:AXbr'IYvIYAXt"AArIY
abbreviature	phonetic	fallback:AXbr'IYvIYAXtSHER
abbrochment	phonetic	fallback:AXbr'OWtSHmIXnt
abc	text	override:ay bea cea
abciximab	phonetic	fallback:"AEbz'IHksIXm"AEb
abdal	phonetic	fallback:"AAbd'AAl
abdallah	phonetic	fallback:'AEbdAXlAX
abdelmadjid	phonetic	fallback:"AEbdAXlmAXdZH'IYd
abdl	text	override:ay bea dee ell
abdominales	phonetic	fallback:AXbd"AAmIXn'EYlIYz
abdominizer	phonetic	fallback:AXbd'AAmIXn"AYzER
abdominopelvic	phonetic	fallback:AXbd"AAmIXnOWp'EHlvIXk
abdominoperineal	phonetic	fallback:AXbd"AAmIXn"OWp"EYrIXn'IYAXl
abdominoplasty	phonetic	fallback:AXbd'AAmIXnOWpl"AEstIY
abduce	phonetic	fallback:AXbd'UWs
abducens	phonetic	fallback:AXbd'UWsIXnz
abducent	phonetic	fallback:AXbd'UWsIXnt
abducentes	phonetic	fallback:AXbd"UWs'EHntIYz
abdul	phonetic	fallback:AXbd'UWl
abdulaziz	phonetic	fallback:"AEbd"UWlAXz'IYz
abdullah	phonetic	fallback:"AEbdAXl'AA
abdurraqib	phonetic	fallback:"AEbdUWrAXk'IYb
abdülaziz	phonetic	fallback:"AEbd"UWlAXz'IYz
abdülhamid	phonetic	fallback:"AEbd"UWlhAXm'IYd
abdülmecid	phonetic	fallback:"AEbd"UWlmIXdZH'IYd
abecedaria	phonetic	fallback:"EYbIYsIYd'EYrIYAX
abecedarian	phonetic	fallback:"EYbIYsIYd'EYrIYIXn
abecedarium	phonetic	fallback:"EYbIYsIYd'EYrIYAXm
abecedarius	phonetic	fallback:"EYbIYsIYd'EYrIYAXs
abecedary	phonetic	fallback:"EYbIYs'IYdAXrIY
abedin	phonetic	fallback:'AEbIXd"IYn
abednego	phonetic	fallback:AXb'EHdnIXgOW
abelard	phonetic	fallback:'AEbIXl"AArd
abelite	phonetic	fallback:'EYbIXl"AYt
